あわてます 慌てます 慌张，着急，匆忙，慌乱；惊慌失措
しろい 白い 白色的；空白的；无内容的
はくねつ 白熱 白炽；白热化，最热烈。物体因高温而发出白色强光的状态；也用于形容事物发展到最激烈、最热烈的阶段。
はくじょう 白状 自己の罪や不正な行為などを明かして告白すること。
はくし 白紙 白纸；空白的纸张；未填写内容的状态；事情的原始状态
はくさい 白菜 白菜，一种蔬菜，通常指的是结球白菜。
しょうちゅ 白酒 白酒；烧酒
しらが 白髪 白发；白头发
はくちょう① 白鳥 名。白鳥科の大型の水鳥。羽毛は主に白色で、長い首と大きな翼を持つ。日本では冬に渡来することが多い。
しろくろ 白黒 1. 白色和黑色。2. 是非，善恶；正确与错误。3. 黑白（电视、照片等）。
ひゃく 百 数词，用于表示数量一百。
ひゃくやくのちょう 百薬の長 指的是“百药之王”，通常用来指代甘草。
ひゃっかてん 百貨店 出售各种商品的大型商店，通常位于城市中心，提供服装、食品、家居用品、电子产品等多种商品。
てき 的 接在名词后，表示具有某种性质、特征或倾向等。如「科学的な考え方」（科学的思维方式）；「目的の」（关于目的的）；「主な」（主要的）等意思。
てきかく 的確 正确，准确；恰当，贴切
みんな（minna） 皆 大家，全体，所有的人
みなさん 皆さん 指代在场的所有的人，大家
みなさま 皆様 指在场的所有的人，诸位，各位，大家
かいむ 皆無 完全没有，毫无
かわ 皮 皮肤；物体的表面；外皮；果皮；兽皮等
ひにく 皮肉 讽刺，挖苦；矛盾，不合情理
ひふ 皮膚 身体表面を覆っている組織。外界との接触や水分の保持などに役立つ。
ひふびょう 皮膚病 皮肤病。指发生在皮肤及皮肤附属器官疾病的总称。
クン 皲 皮肤因寒冷干燥而破裂、皲裂。
しわ 皺 皱纹；褶皱，褶子。物体表面因收缩、折叠等形成的凹凸纹路。
さら 皿 盘子，碟子，用于盛放物品的浅底器具
さらあらい 皿洗い 名词。洗盘子、洗碟子的行为。
ぼんち 盆地 周りが山などで囲まれ、中が低くなった地形。
ぬすみ 盗み 偷窃；盗窃行为。
ぬすむ 盗む 盗取，偷盗；剽窃，抄袭
ぬすみとり 盗撮り 偷偷拍摄他人的行为，即偷拍。
ぬすむ 盗む 偷，盗窃，窃取；剽窃，抄袭
とうさく 盗作 剽窃，抄袭；盗印；盗制（影片、唱片等）
とうちょう 盗聴 未经许可，暗中偷听或窃听他人谈话、信息等
とうなん 盗難 财物等被盗窃的事件；失窃，被盗
もり 盛り 鼎盛时期，最佳状态；壮年，精力充沛；盛，堆，盘；程度，情况等
もりあがる 盛り上がる 1. 凸起；涌起；隆起。例：地面が盛り上がっている。（地面隆起。）2. 高涨；热烈；活跃起来。例：会場の雰囲気が盛り上がる。（会场的气氛热烈起来。）3. 聚集；汇集。例：人が盛り上がる。（人聚集起来。）
もりつけ 盛り付け 将做好的饭菜等摆放在盘子等餐具中，进行装盘、摆饰。
もりあわせ 盛り合わせ 将多种食物搭配组合在一起的拼盘（菜）
もる 盛る 1. 盛，装满；把……盛入容器等。2. 堆高，堆起来；堆积。3. 增添，添加；使丰富。4. 盛情款待；热烈欢迎。5. （在比赛等中）发挥出色，积极表现。
さかん0 盛ん 形容事物处于兴盛、旺盛、热烈的状态。
せいだい 盛大 规模大且隆重、壮观的样子。常用于描述活动、场面等盛大、宏大。
せいきょう 盛況 盛大な状況。多くの人が集まって賑やかな様子。
かんとく 監督 管理人；导演；监督。作为动词时，意为监督，管理。
かんし 監視 監視すること。ある対象を見張り、注意深く見ること。
め 目 眼睛；目光；眼神；眼力；看法；项目；目录等。
めつき 目つき 眼神，目光；样子，神态
めにする 目にする 看到，看见；目睹；遇见；经历
めのまえ 目の前 眼前，面前；即将面临（某种情况或时刻）
めまぐるしい 目まぐるしい 形容事物变化快速，让人看得眼花缭乱，常用于形容景象、局势等变化极快，目不暇接。
めをみはる 目を見張る 因惊讶、赞叹等而瞪大眼睛，瞠目结舌
めうえ 目上 尊长；上司；地位或辈分高的人
もくげ 目下 眼下；目前；晚辈；下属
めさき 目先 眼前；当前；不久的将来；表面现象；只顾眼前
もくぜん 目前 眼前，面前；当前，现在
めじるし 目印 标记，记号；线索，头绪
もくやす 目安 目标，基准；大致的标准，大致的推测；线索，头绪
もくあて 目当て 目标；目的；指望；期望。
めざす 目指す 以……为目标；瞄准；朝着。想要达到（某个目标或结果）。
もくげき 目撃 亲眼看到别人的行为或事物的发生，即目击。
もくげきしゃ 目撃者 目睹事件发生的人；目击者
もくがた 目方 重量，分量；身材
もくひょう 目標 想要达到的境地或标准；目的。
もくじ 目次 书籍、文件等中各章节或内容的标题按顺序排列而成的部分，即目录。
もくてき 目的 想要达到的地点、境地或想要实现的结果、目标等。
もくてきち 目的地 旅行、移動などの目的とする場所。目的地。
めもり 目盛り 刻度；度数；标记；格；（比赛等的）比分
めだつ 目立つ 显眼，显著，引人注目
めぐすり 目薬 眼药水；眼药
めざまし 目覚まし 叫醒；闹钟；唤醒的事物。如：目覚ましをかける（设置闹钟）；目覚まし時計（闹钟）。
めざましい 目覚ましい 惊人的，异常显著的；醒目的，引人注目的
めざましどけい 目覚まし時計 闹钟
めざめる 目覚める 睡醒，醒来；觉醒，醒悟；振作起来，清醒过来
もくろみ 目論見 计划，打算，企图
もくろく 目録 书籍、文件等内容的目录；物品清单等
めんてん 盲点 1. 盲点（指眼球视网膜上视神经穿过的部位，没有感光细胞，不能感受光的刺激）。2. （认识、理解等方面的）漏洞，死角。
もうもくな 盲目な 没有明确目的或判断，只是盲目地行动或思考。
すぐ 直 直接；（距离）很近；立刻，马上
なおします 直します 修理；改正；纠正；修改；恢复原状等。
なおす 直す 改正；修改；修理；纠正；调整；挽回；恢复正常等
ただちに 直ちに 立刻，马上；直接。表示在短时间内紧接着发生某个动作或情况，或不经过中间环节直接进行某种行为。
じきに 直に 直接，亲自；立刻，马上；坦率地，直率地
なおる 直る 1. 恢复原状，痊愈。2. 改正，纠正，变好。3. 修理好，修复。
ちょくぜん 直前 即将……之前；正前面
ちょっけい 直径 通过一个圆的中心，连接圆周上两点的线段的长度。
ちょくご 直後 刚……之后；紧接着；正后面
ちょっかん 直感 直觉，直接的感觉
ちょくせつ 直接 不经过中间事物，直接与对象发生关系。
ちょくせん 直線 平面上で、二点を通る最も短い線。また、方向が一定の線。
ちょっこうします 直行します 直接前往；直行；直达。表示不经过其他地方，直接朝着目的地行进。
ちょっかく 直角 角度が90度の角。
ちょくそ 直訴 直接向有关方面申诉、投诉或上诉等
ちょくつうれっしゃ 直通列車 直达列车
ちょくめん 直面 真摯に向き合って対処する；目の前に現れた状況や問題に直面する。具体的には、困難や苦境などに直面して、それに対処することや、問題や状況を前にして、真摯に向き合う態度を表す。
あいづち 相槌 随声附和；应和
そうご 相互 相互，互相。表示两者或多者之间彼此的关系。
しょうば 相場 市场行情，行市，市价；市面，行情；行情，行市
あいかわらず 相変わらず 照旧，仍旧，表示情况没有变化，和以前一样。
あいどおれない 相容れない 相互对立，无法相容，不能并存
そうたい 相対 事物が他の事物と対比されている関係や状態。また、互いに対向し合っていること。
あいせきする 相席する （在餐厅等场所）与他人拼桌用餐；（交通工具等）与他人同坐一处
そうとう 相当 程度が高い。かなり。非常に。また、割り当てる、対応するなどの意味もある。
そうおう 相応 相称，适宜，适合；相应，相当。
しょうせい 相性 （人与人、事物与事物之间的）缘分；性格、兴趣等方面的）相合；相匹配
あいて 相手 1. 对方，对手，敌手；2. 伙伴，对象；3. 对待的方式，态度
あいてとる 相手取る 把……当作对手；与……对抗
すもう 相撲 相扑，日本传统的摔跤运动。
あいかた 相方 伙伴；搭档；对方
あいづち 相槌 随声附和，帮腔。在对话中对对方的话做出简单回应，表示一种附和的态度。
あいつぐ 相次ぐ 动1 接连不断地发生或出现；一个接一个地；相继；陆续。
そうさつ 相殺 （债权和债务）相抵；（功和过）相抵，抵销；相互抵消（两种相反的事物或力量）
そうぞく 相続 继承（财产、地位等）；继任（职位等）
そうだん 相談 就某事与他人交换意见、商量、商议。
そうだんします 相談します 商量，协商，洽谈。
そうだんにのる 相談に乗る 接受商量；参与商量；帮着出主意
つながる 相通 事物之间相互关联、彼此沟通，在意义、性质、道理等方面有共同之处。
あいつうじる 相通じる （不同的事物之间）相互关联、彼此相通；意思、情感等相通
そうい 相違 不同，差异，分歧
そういがいない 相違ない 一定，肯定，毫无疑问。
たて 盾 盾牌；挡箭牌；借口
へます 省く 节省，节约；省略；遗漏；免去；不做（本该做之事）等
かえりみる 省みる 反省，反思；回顾，回想；重新审视，仔细考虑
しょうエネ（shou ene） 省エネ 省エネルギーの略。エネルギーを節約すること。
しょうりゃく 省略 不必要な部分を省くこと。文章や表現を簡略化すること。
しょうエネ 省エネ 节省能源。‘省エネ’は‘省エネルギー’の略語で、エネルギーを節約することを意味する。
まゆ 眉 眉毛
まゆげ 眉毛 眼睛上方生长的毛发
かんばん 看板 招牌；牌子；看板（用于展示店铺、商品、活动等信息的牌子）
かんびょう 看病 （对病人）护理，看护；照料（病人）。
かんびょうします 看病します 护理、照料（病人）；照顾、照看（病人）。指对生病或受伤的人进行护理照顾，提供必要的关怀和帮助。
かんご 看護 对伤病者、老人等进行护理照顾。
かんごふ 看護婦 护士，护理人员
かんごし 看護師 护士
けん 県 （日本行政区划）县。日本的地方行政区划之一，直属中央政府，与都、道、府同属一级行政区。
けんちょう 県庁 县政府办公的地方，即县政府机关
まった二つ 真っ二つ 刚好分成两半；完全对立的两派
まっさき 真っ先 最先，首先；最前面
まっくら 真っ暗 漆黑，黑暗；暗淡；（比喻）毫无希望，一片死寂
まっしろ 真っ白 完全白色；洁白无瑕；毫无痕迹；一片空白
まっしろい 真っ白い 完全白色的，雪白的，洁白无瑕的
まっか 真っ赤 通红，鲜红；纯粹，完全
まっさお 真っ青 完全蓝色；（脸色）苍白
まっくろ 真っ黒 形容颜色乌黑、漆黑的状态。
まんなか 真ん中 正中间，正中央
まんまるい 真ん丸い 状态圆润，呈完全圆形的样子，强调非常圆的状态。
まえうえ 真上 正上方，头顶上
まね 真似 举止，动作；模仿，效仿；榜样，模范
まねる 真似る 模仿，效仿；装作，假装
まふゆ 真冬 隆冬，深冬。指冬季中最寒冷的时期。
しんけん 真剣 认真，严肃，正经。表示对待事物的态度严肃、不敷衍，全身心投入。
しんじつ 真実 真实，事实
まごころ 真心 诚心，真心，诚意
しんり 真理 真实的道理，真相。
しんそう 真相 真相，事情的真实情况
しんくう 真空 没有空气或气体的空间；可引申为空白、空缺等意思
まじめ 真面目 认真，严肃；诚实；正经，规规矩矩
ねむい 眠い 困倦，发困；想睡觉的
ねむたい 眠たい 困倦的，昏昏欲睡的；想睡觉的
ねむります 眠ります 睡觉；入睡
ねむる 眠る 睡觉；入睡；长眠；安息。
ねむれる 眠れる 能够入睡；可以睡着。
ねむき 眠気 睡意，困倦
まぶしい 眩しい 晃眼的，耀眼的；光彩夺目的。用于形容光线强烈、事物外观华丽等让人眼睛感到不适或印象深刻的状态。
げんえん 眩暈 头晕，目眩。因身体不适、疲劳、晕车、晕船等原因而产生的头部昏沉、视物旋转的感觉。
ながめ 眺め 景色，景致；眺望；视野范围
ながめる 眺める 看；眺望；注视；展望。
まなざし 眼差し 目光，眼神；眼色
めがね 眼鏡 眼镜；眼镜状的东西
ちゃくちゃく 着々 进展顺利；一步一个脚印地，稳步地
つきます 着きます 到达，抵达。常表示到达某个地点，如车站、学校、家等。例：駅に着きます（到达车站）、学校に着きます（到达学校）、家に着きます（到家）。
つく 着く 到达，抵达；够到；考上（学校）；找到（答案等）；（时间、年龄等）到；（事情）成功、实现；（颜色等）附着、染上；（火等）燃烧起来；（病等）发作；来到（某一状态）
つける 着ける 1. 穿（衣物等），戴（帽子、首饰等）；2. 使附着，涂抹；3. 点（灯、火等）；4. 加（注释等）；5. 举行（仪式等）；6. （船）靠拢；7. 入席
きせる 着せる 给……穿上（衣服等）；给……披上（外套等）；给……化妆；佯装；假装；把主观判断强加给别人
着る（きる） 着る 穿（衣服等）。例：シャツを着る（穿衬衫）、コートを着る（穿外套）等。
着（き）る（kiru） 着る 穿（衣服等）；戴（帽子、眼镜等）；套（袜子等）
ちゃくじつ 着実 稳步地，扎实地，切实地；可靠，稳健
ちゃくこう 着工 建筑物や工事などが始まること。また、その際の行為を指す。
ちゃくせき 着席 就座，入座，就席
ちゃくしゅ 着手 开始做某事，着手进行。强调从某个时间点或阶段开始正式开展某项工作、行动等。
きがえる 着替え 名词：更衣；更换的衣服。动词：换衣服，更换。
きかえる 着替える 更换衣服；换穿（不同场合等的）服装
きもの 着物 传统的日本和服，一般为丝绸质地，有多种款式和颜色，常用于正式场合或传统仪式。
ちゃくもく 着目 将视线、注意力等集中于某事物；着眼于。
ちゃくしょく 着色 物体に色を付けること。また、絵や文章などに色彩や色合いを与えること。
ちゃくしょくりょ 着色料 用于使物体染上颜色的物质，即着色剂、染色剂。
ちゃくりく 着陸 （飞机、航天器等）着陆；登陆
きかざる 着飾る 穿上华丽的衣服；精心打扮；装饰，装扮
すいみん 睡眠 睡眠，睡觉；休眠。（人が眠ること。また、生物や物体が活動を休止し、状態が安定したまま存在すること。）
すいみんをとる 睡眠をとる 睡觉。该词强调进入睡眠状态这一行为动作。
睨（にら）む 睨む 瞪眼；注视；盯着看；关注（局势等）
つむる 瞑る 闭上眼睛；闭眼装睡；假装不知道；不理会
まばたき 瞬き 眨眼；一瞬间
またたく 瞬く 眨眼；闪烁；一瞬间
しゅんかん 瞬間 极短的时间，瞬间，刹那，转眼
ひとみ 瞳 瞳孔；眼睛。指眼睛的中心部分，能通过光线进入眼睛的圆形开口，也可指代整个眼睛。
まぶた 瞼 上下眼瞼の総称。目を覆う皮膚の部分。
むじゅん 矛盾 事物之间相互对立、相互冲突的关系或状态
や 矢 箭；矢状物；（比赛等的）目标，目的
やじるし 矢印 箭头；箭形符号；标记
しっています 知っています 知道，了解。表示对某事或某人有一定的认知。
しらずしらず 知らず知らず 不知不觉中，无意中；自然而然地
しらずしらずのうちに 知らず知らずのうちに 不知不觉地，没意识到；无意中
しらせ 知らせ 消息，通知；告知，传达
しらせます 知らせます 通知；告知；传达。
しらせる 知らせる 通知，告知；使知道，让明白
しります（罗马音：shirimasu） 知ります 知道；了解；认识。（表示对事物的知晓、熟悉或认识的状态）
しりあい 知り合い 认识的人，朋友。例：彼は私の知り合いです。（他是我的熟人。）
しりあう 知り合う 相识，结识；认识（某人）；成为熟人关系
しる 知る 知道，懂得；认识；感知，觉察；体验，经历。
ちじ 知事 日本都、道、府、县的行政长官
ちじん 知人 相识的人，熟人
ちせい 知性 才智，智力；理智；知性（指人的认知能力、知识涵养等）
ちえ 知恵 智慧；主意，办法；知识，学问
ちてき 知的 智慧的，智力的；理性的，理智的。指与知识、智力相关的，具有思考、判断等基于理性的特质。
ちいく 知育 智育。知識や思考力、判断力などを育てる教育。
ちのう 知能 智力，智慧；智能。
ちしき 知識 知识，学问
みじかい 短い 长度或时间等方面短的；短暂的
たんしょ 短所 短处，缺点，弱点
たんき 短期 短い期間。短期間。
たんき 短気 性子急，缺乏耐心，容易急躁发怒。
たんしゅく 短縮 把长度、距离、时间等缩短；简化。
きょうせい 矯正 ① 不正や欠陥を正すこと。② 物を曲げたり歪ませたりした状態を直すこと。
いし 石 石头，石块；宝石；石碑等
せっけん 石けん 肥皂
いしがき 石垣 石墙，石围墙；城垣。
いしばし 石橋 石桥
せきゆ 石油 石油。从地下开采出来的一种黑色或深棕色的可燃性液体，是重要的能源和化工原料。
せきたん 石炭 煤，煤炭
いしびた 石畳 用石板铺成的地面；石板路。
いしあたま 石頭 头脑顽固、死脑筋的人
すな① 砂 沙，沙子
じゃり 砂利 小石头，砂砾
さばく 砂漠 沙漠。指地面完全被沙所覆盖、植物非常稀少、雨水稀少的荒芜地区。
さとう 砂糖 糖，砂糖。从甘蔗、甜菜等植物中提取的甜味物质，可用于调味、制作食品等。
とぐ 研ぐ 1. 磨快；磨光亮。例：ナイフを研ぐ（磨快刀）。2. 磨练；钻研；推敲。例：技術を研ぐ（磨练技术）。3. 淘（米等）。例：米を研ぐ（淘米）。
けんしゅう 研修 为了提高自身能力而进行的研究、进修、培训等活动。
けんしゅうせい 研修生 名。以学习技术、技能等为目的，到国外或其他机构进行研修的人员。
けんしゅうセンター 研修センター 用于进行研修活动的中心场所
けんきゅう 研究 对事物进行深入探讨、钻研，以获取知识或理解其本质等。
けんきゅうします 研究します 进行研究；钻研
けんきゅうかい 研究会 为了深入研究某个特定主题而组织的团体或活动，通常会定期举行会议，成员们共同探讨、交流相关知识和经验。也指学术、专业领域等进行研讨的集会。
けんきゅういん 研究員 从事研究工作的人员
けんきゅうしつ 研究室 用于进行研究的房间；研究机构中的特定工作区域
けんきゅうじょ 研究所 进行研究的机构场所。
けんきゅうしゃ 研究者 从事研究工作的人员
けんきゅうかいはつ 研究開発 研究与开发。指为了创造新的知识、技术、产品等而进行的系统性探索和努力。
けんきゅうする 研究する 对事物进行深入探讨、钻研，以获取新知识或解决问题等
くだく 砕く 动1 把固体弄碎成小块；敲碎、打碎；使崩溃、瓦解、粉碎（计划、希望等）
くだける 砕ける 破碎；破裂；粉碎；（气势、力量等）受挫、减弱
やぶく 破く 弄破；打破；违反；突破。
やぶります（yaburimasu） 破ります 打破；撕破；违背；违反；破坏；冲破等。例如：約束を破ります。（违背约定。）；袋を破ります。（撕破袋子。）
やぶる 破る 破坏，弄破；打破；违反（规则、约定等）；突破（障碍等）
やぶれる 破れる 自动词，意为破裂、破碎、撕破、裂开等
はかい 破壊 物体や組織、秩序などを壊してしまうこと。破損、崩壊させること。
はっきょく 破局 局面が打ち破られ、混乱した状態になること。また、そのような状態に至ること。
はそん 破損 物体が壊れて損傷を受けること。
はっかく 破格 打破常规；超出通常的标准、规格等。常指在成绩、待遇、评价等方面与常规不同，有特别优待或特殊情况。
はき 破棄 废弃，抛弃；撕毁（条约等）；取消，撤销（计划、判决等）
はへん 破片 从整体分离出来的小块碎片，常指因破裂、爆炸等产生的碎片。
はさん 破産 企业、个人等因无法偿还债务等原因而倒闭、破产
はてん 破綻 破绽，漏洞；失败，破产；（谈判等）破裂
はれつ 破裂 破裂；裂开；（谈判、关系等）破裂
いおう 硫黄 硫黄，硫磺。一种非金属元素，呈黄色，有特殊气味，可用于制造硫酸、火药、火柴等。
かたい 硬い 坚硬的；僵硬的；死板的；生硬的
こうか 硬化 （物质）硬化；（态度等）变得强硬；（市场、价格等）坚挺起来。使物质从柔软或液态变为坚硬状态；使态度、立场等变得强硬、固执；使市场行情等变得坚挺。
こうか 硬貨 硬币；货币。
ご 碁 围棋；棋类游戏的统称
ごばん 碁盤 用于围棋对局的棋盘，通常为方形，上面有纵横交错的线划分出许多交叉点。
わん 碗 食器の一種で、深くて開口部が広い容器。料理や食べ物を載せるのに使われる。
たしか 確か 1. 确实，确切。表示对事物的真实性有把握。2. 大概，好像。用于表达不确定但有一定依据的推测。
たしかめます 確かめます 确认；查明；核实。通过调查、询问等方式弄清楚事情的真相、情况等
たしかめる 確かめる 确认；查明；弄清楚；核实
たしかたる 確たる 确切的，确凿的，可靠的
かくほ 確保 必要な物や資源を手に入れること。また、それを維持すること。特に、物資や資金、人員などを確実に得ること。
かくほ 確保 确保；保证得到；设法确保；弄到
かくしん 確信 坚信，确信的信念
かくてい 確定 明确地决定；使固定；使确定；（病情、结果等）确定下来
かくじつ 確実 确实，可靠；准确无误
かくりつ 確率 某件事情发生的可能性大小的数值表示，即概率。
かくりつ 確立 1. 明確に定めること。2. 確実に成立させること。
かくにん 確認 ① 確かめること。事実や真実を明らかにすること。/确认，核实。② 物事の状態や内容を再度見ること。/查看，检查。
かくにんする 確認する 确认，核实；查明，弄清楚
じき 磁器 用瓷土烧制的器具，如碗、盘、花瓶等。
みがきます 磨きます 打磨；擦亮；磨练；提高（技艺、修养等）
みがく 磨く 磨；擦；刷；磨练；提高（技能、能力等）
しめす 示す 表现出，表示；出示；指示，指明；显示，表明
しさ 示唆 从旁指点，引起联想，启示，启发
れい 礼 谢意、礼仪、礼貌、礼节；礼物；敬神的供品
れいぎ 礼儀 礼仪，礼节，礼貌
れいきん 礼金 （租房、就职等场合给房东、雇主等的）礼金，谢礼
しゃ 社 公司；社团；商号；神社等。
しゃこう 社交 人与人之间进行交往、交际活动。
しゃこう ダンス 社交ダンス 交际舞，社交舞。指用于社交场合的舞蹈形式，人们通过跳舞进行交流互动。
しゃかい 社会 人类在一定的地域内，以共同的物质生产活动为基础而结合起来的群体。
しゃかいじん 社会人 指踏入社会，以工作为主要活动的成年人。
しゃない 社内 公司内部
しゃいん 社員 公司、团体等组织中的成员，一般指职员
しゃいんわりびきせいど 社員割引制度 公司为员工提供的折扣制度，即员工在购买公司产品或服务时可享受一定比例的价格优惠。
しゃいんりょこう 社員旅行 公司全体员工的旅行
しゃいんしょくどう 社員食堂 公司员工用餐的食堂
しゃたく 社宅 公司提供给员工居住的住宅
しゃせつ 社説 报纸、杂志等媒体上发表的代表编辑部意见的评论文章，即社论。
しゃちょう 社長 公司、组织等的最高负责人，即社长、总经理
いのり 祈り 祈祷，祷告；祈愿，祝愿
いのる 祈る 祈祷；祝愿；祈求。
きがん 祈願 祈祷，祈愿，祝愿。
そせん 祖先 自己の血筋の前代にいた人々。先祖。
そぼ 祖母 祖母；外祖母。即父亲的母亲或母亲的母亲
そふ 祖父 祖父；外祖父
いわう 祝う 祝贺，庆祝；祝福，祝愿
いわう 祝う 庆祝；祝贺；祝愿；祝福
しゅくじつ 祝日 节日，法定假日
しゅくが 祝賀 祝贺，庆贺。对喜事表示庆祝、道贺。
かみ 神 神；上帝；神灵；极受崇敬的人；极好的事物等
しんぜんけっこんしき 神前結婚式 在神社神前举行的传统结婚仪式
じんじゃ 神社 供奉神灵的场所，日本传统宗教设施。
しんぴ 神秘 难以理解、不可思议、带有神秘色彩的事物或状态
しんけい 神経 神经；感觉，感受；精神状态，情绪；神经过敏，神经质
しんけいつう 神経痛 因神经受刺激或发生病变而引起的疼痛。
しんけいしつ 神経質 神经质；过于在意细节，容易担心；神经过敏；易兴奋的；性情过敏的
しんせい 神聖 崇高で神に似た、また神に関係することを表す。神様に尊い、畏敬すべきであること。
しんわ 神話 关于神的故事、传说；荒诞无稽的故事
まつり 祭り 节日、祭典、庙会。指在特定时间举行的，具有庆祝、祭祀等多种意义的活动，通常伴有各种表演、游乐设施、美食摊位等。
まつる 祭る 1. 祭祀，祭神；2. 举行节日活动；3. 炫耀，卖弄；4. 把（感情、精力等）倾注于……
きんじる 禁じる 禁止，不允许；严禁，杜绝；抑制，克制
きんし 禁止 ある行為や物を許さないこと。制限すること。
きんえん 禁煙 禁止吸烟；戒烟
きんえんせき 禁煙席 无烟席，禁烟席，在公共场合等禁止吸烟的区域
きんもつ 禁物 严禁的事物；切忌的事物。通常指被禁止、不被允许的东西。
ふくし 福祉 幸福、福利、福祉。指个人或社会所享有的各种利益和保障，包括物质生活、精神生活、社会环境等方面的良好状态。
はげる 禿げる 头发脱落；毛发、草木等变秃；失去光泽；（物体表面）磨损、剥落
ひでる 秀でる 优秀，卓越；擅长，突出；出众，超群
わたし 私 我（用于第一人称，较为口语化）；自己；个人
わたしども 私ども 我们（用于比较郑重或书面的场合）
しじ 私事 个人的な事柄。自分自身に関すること。
しじょう 私情 个人感情；私心。指偏向于个人的情感、想法，而非基于公正、客观的立场。
しもの 私物 个人所有物；私人物品
しりつ 私立 私人设立的；私立的。
してつ0 私鉄 私营铁路。由私人或民间企业经营的铁路。
あき 秋 一年中的第三季，介于夏季和冬季之间，气候渐凉，树叶变色等。
あきばれ 秋晴れ 秋天晴朗的天气
あきづき 秋月 秋天的月亮
かがく 科学 关于自然、社会、思维等的知识体系，通过系统的观察、实验、研究等方法获取，并用于解释现象、预测未来和改善生活。
かがくぎじゅつ 科学技術 科学技术，科技。指科学和技术的总称，涵盖了自然科学、工程技术等多个领域的知识和方法，用于推动社会发展和改善人们生活。
かがくしゃ 科学者 科学家
かもく 科目 学校で学ぶ学科や教科。また、試験などで評価される項目。
ひめる 秘める 隐藏；隐瞒；珍藏。例えば、感情を秘める（隐藏感情）、秘密を秘める（隐瞒秘密）、思い出を心の中に秘める（把回忆珍藏在心中）。
ひみつ 秘密 名词，指不为人知的事情或信息。
ひしょ 秘書 受雇于他人，协助处理事务、安排日程、整理资料等工作的人员。
ひけつ 秘訣 秘诀；窍门；诀窍
はかり 秤 秤，天平；权衡，比较
ちつじ 秩序 有条理、不混乱的情况或状态，也指社会、团体等中规定的行为规范和顺序。
と称する（としょうする） 称する 1. 叫做，称作；2. 号称，假称，冒充；3. 称赞，赞扬
うつす 移す 1. 移动，挪动，搬运。例：箱を部屋の隅からこっちに移す。（把箱子从房间角落搬到这边来。）2. 转移，转交。例：荷物を友達に移す。（把行李转交给朋友。）3. 改变，变更。例：住所を移す。（变更住址。）
うつりかわる 移り変わる 变迁，变化；转移，移动；交替，更迭
うつる 移る 转移，移动；转变，变化；迁移，搬家。
いじゅう 移住 移居，迁移居住的地方，不限于国外，也可指在国内从一个地方搬到另一个地方居住。
いじゅう 移住 从一个地方搬到另一个地方长期居住；移居
いどう 移動 物体从一个地方移动到另一个地方。
いしょく 移植 1. 生物の器官や組織などを他の生物に移植すること。2. 植物を他の土地に移し植えること。
いみん 移民 从一个国家或地区迁移到另一个国家或地区并定居的人；移居，迁移（动词形式：人がある国や地域から別の国や地域に移り住むこと）
いせき 移籍 1. 户籍を移すこと。2. 所属する組織や所属地を変えること。特に、スポーツ選手が所属するクラブやチームを変えること。
いてん 移転 迁移，搬家；转移；转变；调动（工作等）
まれ 稀 稀罕的，稀奇的，稀少的；罕见的；不常有的
ていど 程度 事物达到的状况或水平；限度；范围等
ぜいりつ 税率 课税する际に、课税対象の金额や数量などに対して课される税金の割合。
ぜいこみ 税込み 含税价格，指包含税金在内的价格
ぜいきん 税金 国家や地方自治体が、国民や法人に対して課して収入としてとる金額。
ぜいかん 税関 海关；关卡。指对进出口货物及物品征收关税和进行监管的机关场所。
たね 種 种子；种类；人种等。
しゅしゅ 種々 各种各样，形形色色
しゅるい 種類 事物按照其共通的性质、特征等所划分的类别。
いね 稲 稻子，水稻。指一种谷类作物，去壳后称大米。
いなさく 稲作 种稻；稻子的种植和收成
いなびかり 稲光 闪电
いなづま 稲妻 闪电；比喻速度极快，像闪电一样
かせぐ 稼ぐ 挣钱，赚钱；工作；努力取得；收获
かせぐ 稼ぐ 1. 赚钱，挣钱。2. 努力工作，劳动。3. 获得，得到（经验、成果等）。
かどう 稼働/稼動 （人が）働く、仕事をする；（機械などが）運転する、作動する
けいこ 稽古 练习；学习；排练。通过反复实践来掌握某种技能、知识或技艺等。
こくもの 穀物 谷物，粮食；谷类植物的种子。
つみあげる 積み上げる 堆积；积累；堆叠；装满。表示将物品逐个或逐批地往上堆放，使其形成一定的高度或数量；也可用于抽象意义，如积累经验、知识等。
つみかねる 積み重ねる 把……堆起来，垒起来；积累，积攒；持续重复做某事
つむ 積む 1. 堆积，堆放；2. 装载；3. 积累，积攒；4. 担负，承担。
つもります 積もります 堆积；积攒；积累；积压
つもる 積もる 1. 堆积，积聚。（物体が重なり合って高くなる。）例：雪が積もる。（雪堆积起来。）2. 积累，积攒。（時間や物資などをためる。）例：経験を積もる。（积累经验。）
せっきょくてき 積極的 积极主动，具有向前的态度和行动意愿。常用于描述人的行为、态度或性格等方面积极向上。
おだやか（oda yaka） 穏やか 形容温顺、温和、平稳、平静的状态或性格。
おんわ 穏和 （气候）温和；（性格、态度等）稳重，平和，温和；（局势等）平稳，平静
あな 穴 洞；孔；穴；漏洞；缺陷
あなうめ 穴埋め 填坑；填补（空白），弥补；填补空缺职位等
おさめる 究める/窮める 1. 钻研，探求；2. 追究，追查；3. 穷尽，用尽；4. 使……陷入困境
