はこ 箱 箱子；盒子；容器等
でんとう 電燈 电灯，用电能发光的照明器具。
でんきゅう 電球 电灯泡，灯泡（将电能转化为光能，用于照明的器具，通常安装在灯具等装置中使用）
でんせん 電線 电线，电缆，用于传输电能、电信号等的导线，通常由导体（如铜、铝等）和绝缘层等组成，广泛应用于电力系统、通信系统等领域。
でんわ 電話 电话；电话机；打电话，通话
でんわがとおい 電話が遠い 电话信号不好，听不清楚（对方的声音）
でんわします 電話します 打电话；通话
でんわだい 電話代 电话费，打电话的费用
でんわばんごう 電話番号 电话号码，指用于拨打或接听电话时识别特定电话线路或用户的数字组合
でんしゃ 電車 电车，电气列车
でんしゃだい 電車代 电车的车费，乘坐电车所需支付的费用
じゅよう 需要 需要，需求；要求，必要
ふるえる 震える 1. 震动，颤动，摇晃（物体因外力或自身原因产生的振动、晃动）；2. 发抖，哆嗦，打颤（因寒冷、恐惧、激动等身体不由自主地颤抖）
ふるわせる 震わせる 使……发抖；使……震动；使……颤动
しんど 震度 地震烈度，指地震发生时，地面及建筑物等受到地震影响和破坏的程度。
しんげん 震源 地震的发源地，也可用于比喻事物的根源、起因（如社会问题的震源）
しんさい 震災 地震灾害，因地震引发的灾害（如房屋倒塌、火灾、海啸等次生灾害）
しも 霜 霜，白霜
かすむ 霞む 1. （景物）被云雾等笼罩而朦胧，模糊不清；2. （眼睛）模糊，看东西不清楚；3. （色彩、光线等）变得暗淡，不醒目，不鲜明
きり 霧 雾；迷茫，困惑
つゆ、ろ 露 1. 露水（つゆ）；2. 短暂，微小（ろ）；3. 一点也（ろ，常用于否定表达，如「露とも」表示「一点也（不）」）
ろてんふろ 露天風呂 露天温泉，露天浴池
ろこつ 露骨 （言行、态度等）露骨，毫不掩饰，毫不顾忌，坦率直爽
あい 靄 云气，轻雾，薄雾；（精神、氛围等的）朦胧感，神秘感
あお 青 【名】蓝色；【形】蓝色的；青涩的（果实等未成熟的状态）；年轻的，不成熟的
あおい 青い 1. 蓝色的；2. 绿色的（如形容未成熟的果实等）；3. 青涩的，稚嫩的（形容人或事物的状态）
あおにさい 青二才 小毛孩，毛头小子（常用来比喻经验不足、举止幼稚、还不成熟的年轻人）
あおしゃしん 青写真 1. 蓝图（工程、建筑等领域中用于展示设计方案的图纸，通常为蓝色线条绘制在白色底图上）；2. 初步计划、草案（比喻性用法，指某个项目、活动等还处于规划阶段的方案）
せいてん 青天 青天，晴空；也可比喻为政治清明的时代或环境
せいねん 青年 青年，年轻人（通常指十几岁到二十几岁、三十岁左右的人）
せいしゅん 青春 青春；青春期；青春时代
あおじろい 青白い 青白色的；（脸色等）苍白的
あおぞら 青空 蓝天，晴空，晴朗的天空
あおば 青葉 绿叶；（也可作为人名、地名等使用，例如“青葉台”“青葉真央”等）
しずか 静か 1. 安静的，寂静的；2. 文静的，沉稳的；3. （性格、举止等）沉静的，稳重的
しずか［な］ 静か［な］ 安静的；寂静的；平静的；沉稳的；（性格、举止等）文静的，温顺的；（心情）平静的，沉静的
しずまりかえる 静まり返る （声音、动静等完全消失，变得）鸦雀无声，万籁俱寂，一片寂静
しずまる 静まる 1. （声音、动作等）平静下来，平息；2. （心情等）平静，沉静；3. （风、雨等）停止，平息
ひりょく 非力 1. （名词）无力，没劲儿，软弱；2. （形容动词）无力的，没劲儿的，软弱的
ひこん 非婚 不结婚的状态；非婚姻关系（如非婚生子女中的“非婚”，指不是在婚姻关系存续期间生育的情况；也可用于描述个人选择不结婚的生活方式等）
ひじょう 非常 1. （作为名词、副词）非常，特别，极其；2. （作为名词、形容词）紧急，危急
ひじょうに 非常に 非常，十分，极其，特别
ひじょうきん 非常勤 兼职，兼任（指不是正式员工，按一定时间或任务来工作的形式，常用于教师、职员等职业的兼职情况）
ひじょうしき 非常識 名词、形容动词。不合常理，违背常识，缺乏常识
ひじょうでんわ 非常電話 紧急电话（用于在发生火灾、地震等紧急情况时，向相关部门或人员报告情况、请求救援等的专用电话）
ひじょうしょく 非常食 防灾等紧急情况发生时食用的储备食品、应急食品
ひせいさんてき 非生産的 非生产性的，非建设性的（通常用于形容意见、行为、方法等缺乏实际效果或不能带来积极成果）
ひこう 非行 不正当的行为，不良行为（多指违反道德规范、法律规定等的行为，如青少年的不良行为、犯罪行为等）
ひなん 非難 指责，非难，谴责，批评
めん 面 1. 脸，面孔；2. 表面，外面；3. 方面，层面；4. 面条（「麺」的异体字，常用于口语或部分方言中）
めんする 面する 面向，面对；面临，面对（问题、状况等）
めんかい 面会 会面，见面，访问，探望
めんどう 面倒 1. 名词：照料，照顾；麻烦，费事 2. 形容动词：麻烦的，费事的；令人心烦的
めんどうくさい 面倒くさい 形容词，形容事物或事情繁杂、麻烦，处理起来需要花费较多精力和时间，让人觉得厌烦、麻烦。
めんどうをみる 面倒を見る 照顾，照料；照管，料理；关心，关照
めんぜん 面前 面前，眼前；（直接）面对，当着…的面
めんし 面子 名词，指面子、颜面、脸面，也可表示体面、名誉、声望，还可指情面、情分
おもかげ 面影 1. （人的）相貌，模样，面容；2. （事物的）迹象，风貌，痕迹
めんせつ 面接 面试；面谈，会面
めんせつしけん 面接試験 面试，求职面试、入学面试等各类面试考核
おもしろい 面白い 1. 有趣的，有意思的；2. 滑稽的，好笑的；3. 愉快的，开心的；4. （事物）有价值的，值得重视的
めんせき 面積 （平面或立体图形等的）面积，也可用于表示某个区域的范围大小（如土地面积、房间面积等）
めんだん 面談 面谈，会面，会见
かわ 革 皮革；皮肤；（某些物体的）表皮、外皮
かくしん 革新 革新，改革，创新
かわぐつ 革靴 皮鞋，用皮革制作的鞋子，通常用于正式场合、工作场合或搭配正装穿着，也有一些休闲风格的皮鞋可供日常穿着。
くつ 靴 鞋子，靴
まり 鞠 球；（传统体育项目）踢毽子
むち 鞭 1. 鞭子，教鞭；2. 鞭策，督促
かんこく 韓国 大韩民国，位于东亚朝鲜半岛南部的国家
かんこくじん 韓国人 名词，指韩国人，也可用于称呼具有韩国国籍或民族身份的人
かんこくご 韓国語 名词，韩语（朝鲜半岛南部的韩国所使用的语言，属于阿尔泰语系，在词汇、语法等方面有自身的特点，也受到汉语、日语等语言的一定影响）
かんこくドラマ 韓国ドラマ 韩国电视剧
おと 音 声音，响声；发音，读音；（音乐的）音，音调；音讯，消息
おんせい 音声 声音；语音（包括人类发出的声音、机器输出的语音等，也可用于表示语音相关的技术、数据等，例如音声認識（语音识别））
おんがく 音楽 音乐，乐曲
おんがくかい 音楽会 名词，音乐会，演奏会（音乐演奏等的集会）
おんがくか 音楽家 音乐家，从事音乐创作、演奏、教学等相关工作的专业人士
おんち 音痴 五音不全（的人）；对音乐感觉迟钝的人
ねいろ 音色 指声音的特色、音质，也可用于形容乐器、人的嗓音等发出声音的独特韵味。
おんよみ 音読み 名词，指日语汉字按照汉语的发音方式来读的音，与「訓読み（くんよみ）」相对
おんりょう 音量 声音的大小程度，通常用于描述音频设备、乐器等发出声音的强弱程度
ひびく 響く 1. 发出声音，响。例：鐘が響く（钟声响起）。2. 回响，回荡。例：山間に声が響く（声音在山间回响）。3. （名声、评价等）流传，为人所知；（影响等）波及，产生影响。例：彼の名前は全国に響く（他的名字传遍全国）；その政策が経済に大きく響く（那个政策对经济产生很大影响）。
いただき 頂 顶，上部；山顶；（敬语）吃饭，用餐；赢定了
ちょうじょう 頂上 1. 山顶，顶峰（山の一番高い所）；2. 顶点，极点（物事が最も発展して高い位置に達した点）
ちょうだい 頂戴 （自谦语）领受，接受；吃，喝（通常用于请求对方给自己某物或自己吃、喝某物的场合，也可用于表示自己领受了某物）
ちょうだい 頂戴 1. 领受，收到（他人から物を受け取るときの丁寧な言い方）；2. 吃，喝（食べる・飲むことの丁寧な言い方）
ちょうてん 頂点 顶点；最高点；顶峰；巅峰（可用于形容事物发展、位置、状态等达到的最高程度或最高位置，例如人生的頂点、山の頂点）
ころ 頃 时候，时期；（与表示时间的词一起使用）左右，前后
こうもく 項目 项目；条目；条款；（书籍、文件等的）项，目；（比赛、活动等的）项目
じゅん 順 顺序，次序；条理，规律；合适的时机，火候；[用于列举]……之类，等等
じゅんじゅんに 順々に 按顺序，依次；逐渐，渐渐
じゅんじょ 順序 事物进行或排列的先后次序。例如：做事的顺序、文件的排列顺序等。
じゅんじょうよく 順序よく 副词性短语，用于修饰动词等，表示做事、安排等方面按照一定的顺序，有条理、不混乱，即秩序井然、井井有条地
じゅんえん 順延 顺延，依次延期（将日期、时间、顺序等往后推迟，按次序依次延期）
じゅんおう 順応 顺应，适应（指根据外部环境、情况等的变化，调整自身的状态、行为、想法等以与之相符合、相协调）
じゅんばん 順番 顺序，次序；轮流，依次
じゅんちょう 順調 顺利，良好（形容事物的发展、进行等没有阻碍，进展得很顺畅）
あずかります 預かります 保管，收存；照看，照顾（人、物等）
あずかる 預かる （代为）保管；（临时）照看；承担，负责
あずけます 預けます 寄存，托付；委托，托付（工作、任务等）；托养，寄养（孩子、宠物等）
あずける 預ける 1. 寄存，存放；2. 委托，托付；3. 垫（钱），代付
よきん 預金 存款；储蓄
がんな 頑な 顽固的，固执的，倔强的，顽强的（常含贬义，用于形容人在想法、态度、行为等方面坚持己见，不愿改变，不易被说服或打动）
がんじょう 頑丈 1. （物体等）结实的，坚固的；2. （人、动物等）健壮的，强壮的
がんこく 頑固 1. （性格、态度等）犟，固执，顽固，执拗；2. （疾病等）顽固，难治，痼疾
がんばります 頑張ります 努力，加油，拼命努力
がんばる 頑張る 加油，努力；坚持，振作；尽力，拼命
はなはだ 頗る 颇，非常，极其（程度高，常修饰形容词、动词等，体现事物达到的程度较深）
りょうじ 領事 领事（一国政府派驻在他国某城市，维护本国及其公民和法人的权益，办理外交事务的官员）
りょうじかん 領事館 领事馆，是一国驻在他国某个城市的领事代表机关的总称，负责管理当地本国侨民和其它领事事务。
りょうしゅう 領収 收款，收据，收条
りょうしゅうしょ 領収書 收据，收条（商品やサービスの代金を支払ったことを証明する書類）
りょうど 領土 国家行使主权的地域范围，包括陆地、水域及其上空和底土，是国家构成的要素之一
りょういき 領域 领域；范围；区域（指具有特定性质、功能、归属等的空间或范围，可用于学术、地理、专业等方面）
ほほ 頬 脸颊，面颊，脸的两侧从眼到下颌的部分
あたま 頭 1. 头（人或动物的头部）；2. 头脑，脑筋（思考、记忆等的器官及能力）；3. 首领，头目（团体、组织等的领导者）；4. 顶端，开头（物体的顶端部分或事物的起始部分）；5. 方面，点（从某个角度、立场来看）
あたまがいい 頭がいい 头脑聪明，脑子好用
ずつう 頭痛 头痛；烦恼，苦恼
ずのう 頭脳 1. 头脑，智力；2. 首脑，领导人
うなずく 頷く （上下）点头，首肯；（事物）符合，顺应，与…一致
しきりに 頻りに 频繁地，屡次地；（也可用于形容情感等）强烈地
ひんぱん 頻繁 频繁，屡次，经常（表示在一定时间内多次发生，频率较高）
たのみ 頼み 1. 请求，恳求，拜托；2. 指望，期望，依靠；3. 信赖，信任
たのみます 頼みます 1. 点（菜），如在餐厅点菜；2. 请求，恳请他人做某事；3. 托付，将事情或物品托付给他人
たのむ 頼む 1. 请求，拜托（他人做某事或给予某物）；2. 委托（将事务等托付给他人）；3. 指望，依靠（把希望、期待寄托于某人或某事）
たのもしい 頼もしい 靠得住的，可靠的；有出息的，有望的
たより 頼り 1. 依靠，依赖，依仗；2. 可依靠的人（或事物），帮手，依靠的对象，依据，凭借的事物
たよりない 頼りない 无依无靠的；不可靠的，没把握的（常用来形容人、事物或情况给人一种难以信赖、缺乏稳定性或保障性的感觉）
たよる 頼る 1. 依靠，依赖；2. 指望，寄希望于；3. 委托，托付
だいする 題する 以……为主题，围绕……；题有（标题、词句等）
ぬか 額 1. 额头，脑门；2. 匾额，招牌；3. 金额，数量
あご 顎 下巴，下颚；（器物的）承口，凹部
かお 顔 脸；面孔；表情；神色；面子；脸面；容貌
かおつき 顔つき 相貌；表情，神色
かおだち 顔立ち 容貌，长相（侧重于五官的搭配、整体的面部轮廓等给人的视觉印象）
がんしょく0 顔色 脸色，神色，神情；气色，面色；[敬语]（对方的）意向，心情
かおおうけ 顔負け （因对方出色而）甘拜下风，相形见绌；（在某方面）比不上，逊色
けんざい 顕在 显在，实际存在（的事物、状态等）
けんびきょう 顕微鏡 显微镜，用于观察微小物体的光学仪器
けんちょ 顕著 显著的，明显的，突出的
ねがい 願い 愿望，心愿；请求，祈求
ねがう 願う 1. 请求，要求，拜托；2. 期望，希望，祈愿
がんしょ 願書 申请书，志愿书（用于申请入学、入职、参加活动等，记载个人意愿、相关信息等的书面文件）
がんぼう 願望 愿望，心愿，期望（对某种事物或状态的向往、盼望，通常是内心比较强烈的诉求）
るい 類 1. 同类，类别；2. 匹敌，类似
るいする 類する （与……）相似，类似；把……比作，将……归类为
るいじ 類似 类似，相像，相似
るいけい 類型 类型，种类，样式
るいすい 類推 类推，类比，根据某一事物的道理来推断其他类似事物的道理
かえみる 顧みる 1. 往后看，回头看；2. 回顾，回想；3. 顾及，考虑，留意；4. 照管，照顾
こもん 顧問 顾问，参谋（就特定的领域或问题，提供专业意见、建议或指导的人，常受聘于企业、团体、个人等，在法律、经济、技术、艺术等不同领域发挥作用）
かぜがつよい 風が強い 风大，风力强
ふうぞく 風俗 风俗，习俗；（日本特有的）色情服务业
ふうりょく 風力 风力，风的力量，利用风的力量（如风力发电等）
ふろ 風呂 浴室；洗澡（也可指浴缸）
ふろしき 風呂敷 包袱布，包裹布（一种传统的日本方形布，用于包裹物品、携带物品或者作为装饰等）
ふうみき 風味 风味，味道；韵味，情趣
ふど 風土 风土，指某一地区特有的自然环境（气候、土壤、地形等）和风俗、习惯等人文环境的总和。
かふうがわり 風変わり 奇特的，古怪的，与众不同的（常用来形容人的性格、行为方式、事物的样子、风格等方面异于常人或一般情况）
ふぜい 風情 1. 情调，风趣，情趣；2. 样子，情形，情况；3. 风味，特色；4. 感觉，印象
ふうけい 風景 景象，风景；情景，状况
ふうちょう 風潮 潮流，风气，倾向（指社会上普遍流行的风气、趋势或者事物发展的倾向）
ふうせん 風船 气球；（为缓和紧张气氛等而说的）敷衍话，空头支票
ふうそく 風速 风速，指空气流动的速度，通常以米/秒、千米/小时等为单位来计量。
かぜ 風邪 感冒，伤风；（对事物的）反感，抵触
かぜをひきます 風邪を引きます （患）感冒，得感冒。是由「風邪（かぜ）」（感冒）和「引く（ひく）」（这里表示“患（病）”）加上敬体助动词「ます」构成的表达，用于礼貌地表述自身或他人患上感冒的情况。
かぜぐすり 風邪薬 感冒药
とばす 飛ばす 1. 使……飞起，使……飞；2. 吹跑，刮跑；3. （驱车、驾船等）疾驰，猛开，猛驶；4. 跳过，越过（不做、略过）；5. 散布，传播（谣言等）；6. 弄洒，泼洒（液体等）
とびつく 飛びつく 1. 扑向，猛扑；2. （被强烈吸引而）扑过去，急切地投身于
とびます 飛びます 飞，飞行；（鸟、飞机等）飞翔，航行；（时间、事物等）快速流逝、进展；（想法、视线等）掠过，转移
とびあがる 飛び上がる 1. 跳起来，蹦起来；2. 飞起，突然飞起；3. （数值、价格等）猛涨，骤增
とびかう 飛び交う （在空中、空间等）飞舞，飞来飞去；（事物、信息等）交错，纷至沓来
とびいり 飛び入り 中途临时参加（的人）；临时加入（的人）；突然闯入（的人）
とびだす 飛び出す 1. 跳出，跑出；飞起；2. 突然出现，突然发生；3. 开始（做某事），着手（做某事）
とびまわる 飛び回る 1. （鸟、昆虫等）飞来飞去，四处飞；2. （人）到处奔走，东奔西走，忙于奔波
とびちらる 飛び散る （东西）四处飞散，洒落，飘洒，飞洒；（情绪等）爆发，迸发
とびおきる 飛び起きる （从床上、座位上等）一跃而起，突然起身
とびはねる 飛び跳ねる 跳跃，蹦跳；（因高兴、激动等而）雀跃，兴奋地跳
とびこむ 飛び込む 1. 跳入，跳进；2. 突然进入（某领域、活动等）；3. 贸然投身（某事），贸然从事
とびおりる 飛び降りる （从高处、行驶中的车辆、建筑物等上面）跳下，跳落
とぶ 飛ぶ 1. 飞，飞翔；2. （鸟、昆虫等）振翅，飞舞；3. （物体）飞，飞起，飞溅；4. （时间、费用等）流逝，花费；5. （想法、想象等）驰骋，奔放；6. 吹走，刮跑；7. （车辆、机械等）快速移动，飞驰
ひこう 飛行 飞行，航空（指物体在空中移动的行为，或利用航空器在空中航行的活动）
ひこうじょう 飛行場 机场，飞机场，航空站
ひこうし 飛行士 飞行员，驾驶员（飞机、宇宙飞船等的操纵人员）
ひこうき 飛行機 飞机；航空器
ひやく 飛躍 飞跃，跃进；（质的）突变，飞跃发展
ひやくてき 飛躍的 形容事物以急剧、大幅度、飞跃性的方式发展、变化、提升等，例如“飛躍的な進歩（飞跃性的进步）”“飛躍的に成長する（飞跃性地成长）”
くいとめる 食い止める 1. 控制住，阻止住，拦住（進展や流出、勢いなどを、食い止めるようにする）；2. （用手等）挡住，捂住（飲みこもうとするものを、口元などで止める）
くいちがい 食い違い 名词，指意见、想法、事实等方面的分歧、不一致，也可指（事物之间的）偏差、错位
くいちがう 食い違う 1. （意见、想法等）有分歧，不一致，不符；2. （部件、位置等）错位，偏移，不吻合
くう 食う 1. 吃（饭、食物等，比较口语化、粗鲁的说法）；2. 咬，叮（如虫子咬、动物咬等）；3. （引申义）侵占，侵吞（他人的财物、权益等）；4. 消耗，耗费（时间、金钱、精力等）
たべます 食べます 吃；食用
たべる 食べる 吃；食用；（野兽等）捕食
たべあるき 食べ歩き 名词，指边走边吃（的行为、状态或边走边吃的食物）
たべもの 食べ物 食物，吃的东西
たべあきる 食べ飽きる 吃腻，吃厌
くいだす 食み出す （从容器、缝隙等中）露出，冒出；（数量、程度等）超出（限度）
くみだす 食み出る （从内部）露出，凸出；超出（限度、范围等）
しょくちゅうどく 食中毒 因食用被细菌、病毒、毒素、化学物质等污染的食物，或者食用本身含有毒素的食物而引起的中毒症状，通常会出现呕吐、腹泻、腹痛、发热等症状。
しょくじ 食事 吃饭，进餐；饭，餐食
しょくじします 食事します 进行用餐，吃饭（较为正式、礼貌的表达，常用于对长辈、上级或在正式场合提及吃饭这件事）
しょくじする 食事する 吃饭，用餐；饮食（较为正式的表达）
しょくたく 食卓 餐桌，饭桌
しょくひん 食品 供人食用的物品，包括各种食物、饮品等，例如主食、副食、零食、饮料等。
しょっき 食器 餐具，指吃饭用的器具，如碗、盘子、杯子、筷子、勺子等。
しょくどう 食堂 食堂，餐厅，饭馆
しょくえん 食塩 食盐，氯化钠（用于调味、腌制、化工原料等）
しょくご 食後 饭后，用餐之后
しょくりょう 食料 食品，食物（维持生命所必需的可供食用的物质）
しょくりょうひん 食料品 食品，食物
しょくざい 食材 食品原材料，做饭做菜用的材料
しょくよく 食欲 想吃东西的欲望，食欲
しょくもつ 食物 食物，食品，吃的东西
しょくせいかつ 食生活 饮食生活（指日常生活中饮食的内容、习惯、方式等方面的总和）
しょくりょう 食糧 粮食，食粮（维持生命活动所必需的食物的总称，也可用于比喻维持某种活动或组织所需的资源、物资等）
しょくひ 食費 伙食费，饭费，用于饮食方面的费用
しょくどう 食道 食道，食管，是食物从口腔进入胃的通道，位于颈部和胸腔内，连接咽和胃。
うえる 飢える 1. 饿，饥饿（肚子饿，缺乏食物而感到难受）；2. 渴望，渴求（对某种事物有强烈的欲望、需求）
ききん 飢饉 粮荒，饥荒；（物资、资源等的）不足，缺乏
めし 飯 1. 饭，米饭；2. 餐，饭食；3. 生计，饭碗
のみます 飲みます 喝；饮；吃（药）、服（药），例如：水を飲みます（喝水）；薬を飲みます（吃药）
のみかい 飲み会 （同事、朋友等之间的）饮酒聚会，酒会，聚餐会
のみもの 飲み物 饮料，饮品
のみこむ 飲み込む 1. 咽下，吞下去（食物、液体等通过口腔进入食道、胃等）；2. 理解，领会（把知识、话语等在心里接受并理解）；3. 忍受，抑制（把不满、情绪等憋在心里不表现出来）
のむ 飲む 喝；饮；吸入；吸收；冲（茶、咖啡等）；欣赏（音乐、文章等）
いんりょうメーカー 飲料メーカー 饮料生产商、饮料公司
いんよう 飲用 饮用，喝（通常用于正式场合，指喝液体，尤其是饮品、药剂等）
いんしゅ 飲酒 饮酒，喝酒
いんしょく 飲食 饮食；吃喝（的行为、内容等）
いんしょくてん 飲食店 饮食店，餐馆，饭店
あめ 飴 糖果；麦芽糖；甜头，诱饵
かいます 飼います 饲养；喂养；养（动物、宠物等）
かいぬし 飼い主 饲养者，主人，所有者（通常指饲养动物的主人）
かう 飼う 饲养；喂养；养活（人）
しいくする 飼育する 饲养；培育（动物、植物等，使其成长）
あきっぽい 飽きっぽい 容易厌烦的，没常性的，动不动就觉得腻的
あきる 飽きる 腻烦，厌烦，厌倦；吃腻，用腻，玩腻；看腻，听腻；（因重复而）厌烦，腻味；满足，够；（对异性）感到厌倦，移情别恋
ほうわ 飽和 饱和；（发展、增长等）达到极限，趋于饱和
かざり 飾り 1. 装饰，饰品，装饰物；2. 粉饰，虚饰，华而不实的东西
かざります 飾ります 装饰；装点；打扮；掩饰，粉饰
かざる 飾る 1. 装饰，装点，修饰；2. 粉饰，掩饰，美化（缺点、错误等）；3. 陈列，摆饰（商品等）
ギョーザ 餃子 名詞，饺子（一种通常由薄面皮包裹馅料，可煮、蒸、煎等方式烹饪的中式传统食物，在日本也很受欢迎，常见的有日式煎饺等）
ギョーザパーティー 餃子パーティー 名词，以饺子为主题的聚会、饺子派对
もち 餅 年糕；（糯米等谷物蒸后捣制的）糕状物；（物体）粘连，附着
やしなう 養う 1. 养育，抚养（子どもや動物などを育てる）；2. 培养，培育（技能、习惯、精神等，例：趣味を養う）；3. 疗养，调养（病気や疲れを回復させるために静養する，例：体を養う）；4. 供养，赡养（家族や他人を経済的に支える）
ようぶん 養分 养分，营养成分（生物为了维持生命活动和生长发育，从外部摄取的必要物质，如植物从土壤中吸收的氮、磷、钾等，动物从食物中摄取的蛋白质、脂肪、维生素等）
ようせい 養成 培养，培训（使具备某种能力、素质或技能，通常用于有计划、有系统地对人或事物进行培育）
ようご 養護 护养，养护；保健（对人或物进行保护、养育，使其维持良好状态，多用于对老人、儿童、动植物或物品等的保护与照料）
えさ 餌 1. 饵，食物（动物的食物）；2. 诱饵，诱惑物（用于引诱动物或人上当的东西）
あん 餡 馅料，特指用小豆等煮烂后捣成泥状并加入糖等制成的甜馅，常用于制作和果子、点心等；也可指包在点心、包子等里面的馅
かんちょう 館長 馆长（一般指博物馆、美术馆、图书馆、展览馆等场所的负责人）
まんとう 饅頭 馒头，包子（通常指带馅的蒸制面食，如豆沙包、肉馅包等）
くび 首 1. 脖子，脖颈；2. 头，脑袋（比较口语化的说法，正式说法多用「頭（あたま）」）；3. （器物的）颈部，脖儿；4. （衣服的）领口，领圈
しゅしょう 首相 首相，总理大臣（君主制国家的政府首脑）
しゅのう 首脳 首脑，首领，领导人物（指国家、组织等的最高领导者，也可用于比喻在某一领域具有主导地位的核心人物）
くびわ 首輪 项圈（给动物戴的，用于系牵引绳等）；项链（佩戴在颈部的装饰品）
しゅと 首都 国家的政治中心城市，是国家最高政权机关所在地，通常也是经济、文化等方面的重要中心。
しゅとけん 首都圏 首都圈，以首都为中心的周边地区（通常指经济、文化、交通等方面联系紧密的区域）
くびかざり 首飾り 项链；颈饰
こうばしい 香ばしい （食物等）香气扑鼻的，芳香的；（味道）鲜美的，可口的
かおり 香り 名词，香味，芳香；气息，韵味
こうすい 香水 香水，用香料等制成的液体，涂抹或喷洒后可散发香气，用于增添个人魅力、掩盖异味等，也可用于室内等空间的香氛营造。
うま 馬 马；（象棋等的）棋子“马”；（日本将棋的）棋子“马”
ばか 馬鹿 傻瓜；笨蛋；愚蠢的人；愚蠢的事
ばからしい 馬鹿らしい 1. 愚蠢的；傻里傻气的 2. 无聊的；没意思的 3. 不值当的；没必要的
ならす 馴らす 1. 驯服，驯养（動物を人間に慣れさせ、手入れや使役に耐えさせる）；2. 使习惯，使适应（人や動物を、ある場所や状況に慣れさせる）；3. 调试，使磨合（機械などを、使いこなせるように慣らす）
なれる 馴れる 1. （动物）驯熟，习惯；2. （人）亲近，混熟，熟识
なれはじめ 馴れ初め （男女之间）开始交往、恋爱关系的开端；（动物等）开始亲近、初次亲昵
なれなれしい 馴れ馴れしい 过分亲昵的，熟不拘礼的，（态度、行为等）过于随便、不庄重，给人一种自来熟、缺乏分寸感的感觉
なじむ 馴染む 1. 熟悉，适应（新的环境、事物、人等，变得习惯、自然）；2. 融合，调和（与周围的事物、氛围等和谐地成为一体）；3. 协调，相称（在风格、感觉等方面搭配得当）
ださく 駄作 指艺术、文学、音乐等领域中水平低劣、缺乏价值、质量不佳的作品。
だめ 駄目 1. 没用的，徒劳的，无效的；2. 不行，不可以，不允许；3. 糟糕的，坏的
えき 駅 车站，火车站，电车站，汽车站等各类交通站点
えきまえ 駅前 车站前面，车站附近（通常指以车站为中心的周边区域，包括车站正前方以及周边一定范围内的街道、商业设施等所在的区域）
えきいん 駅員 车站工作人员，站务员（在铁路车站等场所负责票务、引导乘客、维护车站秩序等工作的人员）
えきべん 駅弁 车站售卖的盒饭，通常在铁路车站或列车内出售，多为便当形式，有各种口味和种类，方便旅客在旅途中食用。
かける 駆ける 1. 奔跑，跑；2. （使）奔驰，策马奔腾；3. （时间）流逝，过去；4. （为某事）奔走，奔波；5. 驱，赶（动物等）
かけつける 駆け付ける 急忙赶到，奔赴（一般用于赶到出事现场、有人求助的地方等紧急情况）
かけあし 駆け足 1. 快跑，急走；2. 走马观花地，急急忙忙地（做某事）
かけこむ 駆け込む 1. 跑进去，冲进；2. （为躲避灾难、危险等）逃进，躲进；3. （为寻求帮助、保护等）投奔，投靠
かられる 駆られる 被驱使；受……驱使；被迫（做某事）
くじょ 駆除 （用药物、器械等）驱除，消灭（害虫、病菌、妖怪等）
ちゅうざい 駐在 （在外地、外国）常驻，驻留，驻扎（多指因工作等原因在外地或国外长期停留）
ちゅうしゃ 駐車 停车，停放车辆
ちゅうしゃじょう 駐車場 停车场，停车区域
ちゅうしゃきんし 駐車禁止 禁止停车（指在特定区域不允许停放车辆的规定或标识）
さわさわしい 騒々しい 吵闹的；喧闹的；（社会等）不安宁的、动荡的
さわがしい 騒がしい 吵闹的；喧嚣的；（人心）不安的，动荡的；议论纷纷的；麻烦的，繁琐的
さわぎ 騒ぎ 吵闹；骚乱；骚动；喧嚣；吵闹声；骚动；纷扰
さわぎます 騒ぎます 吵嚷，吵闹；骚动，喧嚣；慌张，慌乱
さわぐ 騒ぐ 1. 吵闹，喧哗；2. 骚动，骚乱；3. （内心）烦躁，不安
そうどう 騒動 骚动；风波；闹事；纠纷
そうおん 騒音 噪音，杂音（通常指会对人们的生活、工作、学习等造成干扰、令人感到烦躁不适的声音）
だます 騙す 欺骗，哄骗；使…上当，使…中计
おごる 驕る 骄傲，傲慢；自满，自负；（自然界等）逞威，肆虐
おどろかす 驚かす 使……惊讶；吓唬，使……害怕
おどろき 驚き 名词，意为‘吃惊，惊讶，震惊’，也可表示‘意外，意想不到的事’
おどろきます 驚きます （因意外、新奇等而）感到惊讶，吃惊，惊愕
おどろく 驚く 1. 惊讶，吃惊；2. 惊恐，害怕；3. （对事物的发展等）感到意外，觉得奇怪
きょうい 驚異 惊异，惊奇；奇事，不可思议的事
ほね 骨 骨头，骨骼；骨状物；核心，要点；骨气，气概；遗骨，骨灰
こっせつ 骨折 骨折（指骨头因外力等原因发生断裂的伤病情况）
たかだか 高々 1. 高高地，高高隆起的样子；2. 大声地，高声地；3. 顶多，充其量（表示数量、程度等的上限）
たかい 高い 1.（高度、位置、地位等）高的；2.（价格、费用等）贵的；3.（声音、程度等）高的、大的；4.（评价、声誉等）高的
たかが 高が 充其量，最多（用于表示程度、数量等有限，带有轻视、不以为然的语气）
たかさ 高さ 1. 高度，高矮；2. 海拔；3. 程度，水平
たかまる 高まる （水位、物价、声音、情绪、程度等）高涨，提高，增大
